127.0.0.1 - - [04/Oct/2016:21:17:16 +0800] "GET / HTTP/1.1" 200 1589 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:17:17 +0800] "GET /css/app.8b60718d9efa1d85e7ac.css HTTP/1.1" 200 8768 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:17:17 +0800] "GET /js/vendor.8b60718d9efa1d85e7ac.js HTTP/1.1" 200 221095 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:17:17 +0800] "GET /js/app.8b60718d9efa1d85e7ac.js HTTP/1.1" 200 110650 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:17:17 +0800] "GET /js/vendor.8b60718d9efa1d85e7ac.js.map HTTP/1.1" 200 2801646 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:17:18 +0800] "GET /js/app.8b60718d9efa1d85e7ac.js.map HTTP/1.1" 200 917890 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:17:18 +0800] "GET /css/app.8b60718d9efa1d85e7ac.css.map HTTP/1.1" 200 18640 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:18:28 +0800] "GET / HTTP/1.1" 200 1589 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:18:29 +0800] "GET /css/app.2bdf09623619b246ec9f.css HTTP/1.1" 200 8768 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:18:29 +0800] "GET /js/vendor.2bdf09623619b246ec9f.js HTTP/1.1" 200 221095 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:18:29 +0800] "GET /js/app.2bdf09623619b246ec9f.js HTTP/1.1" 200 110659 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
127.0.0.1 - - [04/Oct/2016:21:18:29 +0800] "GET /js/app.2bdf09623619b246ec9f.js.map HTTP/1.1" 200 917980 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
